% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 14:09
% Dimension:          1
% Nodes:              241
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
0.12                      1.2358240652361976E-5    1.237962411026256E-5     1.2406346347986384E-5    1.2620030786060297E-5    1.2880062892209683E-5    1.440170059936203E-5     1.5024304804804605E-5    1.0096234594796667E-5    6.440739013929888E-6     1.6047515989481897E-6
0.12499999999999994       1.205571353850767E-5     1.2076616901104804E-5    1.2102700950550743E-5    1.2310841202722163E-5    1.2564809672714114E-5    1.4112253680924393E-5    1.4897890899515777E-5    1.0626465911588291E-5    6.915880491985694E-6     1.758509166469826E-6
0.12999999999999995       1.1771283928146535E-5    1.1791634924685359E-5    1.1816997788293637E-5    1.2018950601809695E-5    1.2265790675344856E-5    1.3818847303126369E-5    1.4735571053752605E-5    1.1145156753030568E-5    7.408762982893456E-6     1.925864794575239E-6
0.13500000000000006       1.150390402744226E-5     1.1523654438293806E-5    1.1548242123532776E-5    1.174360716819762E-5     1.1982617679694732E-5    1.3525321959062814E-5    1.4543767395984026E-5    1.1645897831955463E-5    7.916739301294368E-6     2.1077896481598784E-6
0.14                      1.1252488451334911E-5    1.1271608660553244E-5    1.1295389471063322E-5    1.1483951521448549E-5    1.1714712517440873E-5    1.3234740104397817E-5    1.4328379903098415E-5    1.2122489970334876E-5    8.436771405099417E-6     2.3052756484052836E-6
0.14500000000000002       1.1016050646062443E-5    1.1034524012383559E-5    1.1057481694424312E-5    1.1239069068674822E-5    1.146137535354525E-5     1.2949461071028488E-5    1.4094988610008872E-5    1.2568940665461776E-5    8.965323182065814E-6     2.519324252054203E-6
0.14999999999999997       1.0793798008121853E-5    1.0811627179820047E-5    1.0833768538230104E-5    1.1008112695718445E-5    1.1221906112884918E-5    1.2671241106141154E-5    1.3849220814744305E-5    1.2979542981918068E-5    9.498217500575469E-6     2.750932257977561E-6
0.15499999999999997       1.0583840927482617E-5    1.0601022476877178E-5    1.0622346507579067E-5    1.0790500158037028E-5    1.0995876194939214E-5    1.2401331050209285E-5    1.3593826151910849E-5    1.3349102695793511E-5    1.0030693530500592E-5    3.0010742319826177E-6
0.16000000000000003       1.0385856647697056E-5    1.0402401545277522E-5    1.0422924451842101E-5    1.0584838543821007E-5    1.0781467061708171E-5    1.2140567731866258E-5    1.3334840256662519E-5    1.3673154692962237E-5    1.0556987823166571E-5    3.270681146676181E-6
0.16499999999999998       1.0199030429475834E-5    1.0214955979032237E-5    1.0234701346173209E-5    1.0389999621983477E-5    1.0578590019634635E-5    1.1889456208663907E-5    1.3073840371136847E-5    1.394815498859505E-5     1.1072523385523701E-5    3.5606148632032228E-6
0.16999999999999998       1.0022146406270394E-5    1.0037468313398717E-5    1.0056457436427277E-5    1.0205414634721756E-5    1.0386588888844891E-5    1.1648241112880944E-5    1.2814155326204389E-5    1.4171638259688183E-5    1.1570989698837604E-5    3.8716381441135784E-6
0.175                     9.854427147037166E-6     9.86916267685363E-6      9.887418477693311E-6     1.003048528444053E-5     1.0204318462222431E-5    1.141696283530782E-5     1.2557986746034501E-5    1.4342325758963295E-5    1.2046255316100404E-5    4.204379990950827E-6
0.18                      9.695331805934351E-6     9.70950171981096E-6      9.727051172884752E-6     9.86445555043479E-6      1.0031076429098091E-5    1.119605812989217E-5     1.2306878868190479E-5    1.4460172634427983E-5    1.249236626999378E-5     4.559296256762663E-6
0.185                     9.544223129424426E-6     9.557849469418325E-6     9.574720919078945E-6     9.706636040259406E-6     9.866407865895578E-6     1.0984174058760577E-5    1.2062024938137778E-5    1.4526349011079744E-5    1.2903624872117237E-5    4.936625703156184E-6
0.19                      9.400451516585539E-6     9.413556070358384E-6     9.429777368284707E-6     9.55645343464608E-6      9.70973832094871E-6      1.0781751214061699E-5    1.1824288226687028E-5    1.4543155252953113E-5    1.3274813796770538E-5    5.336341963477184E-6
0.19499999999999995       9.263469297901205E-6     9.276073755660183E-6     9.291672477688413E-6     9.413373497767892E-6     9.560456927268296E-6     1.058857789893472E-5     1.1594195392583096E-5    1.4513878228808337E-5    1.360141147770449E-5     5.75810224546909E-6
0.19999999999999996       9.132796059416082E-6     9.144922113147244E-6     9.159925708313977E-6     9.276882980698341E-6     9.41804687000088E-6      1.0403842594631364E-5    1.1372769772685107E-5    1.4442229996389033E-5    1.3879785440027746E-5    6.201194061097695E-6
0.20500000000000002       9.007976469620379E-6     9.019645452942187E-6     9.034080822703312E-6     9.14651242648153E-6      9.282054972253117E-6     1.0227111335862795E-5    1.1158914950567413E-5    1.4333137880123581E-5    1.4107353411884278E-5    6.6644818035208055E-6
0.21000000000000002       8.888588180551573E-6     8.89982080829272E-6      8.913714002291315E-6     9.0218383760317E-6       9.152046295305015E-6     1.0058172558335114E-5    1.0953448812210612E-5    1.4191851725590977E-5    1.4282696987632477E-5    7.146355586258681E-6
0.21500000000000002       8.774251137265461E-6     8.785067461529633E-6     8.79844363745626E-6      8.902472075449668E-6     9.027612220892692E-6     9.89666149272902E-6      1.0756445266204502E-5    1.4023552696975248E-5    1.440561647673305E-5     7.644879016391805E-6
0.22000000000000003       8.664620451036662E-6     8.675039834997994E-6     8.687923239051297E-6     8.788055038801102E-6     8.908382338890659E-6     9.742130473787847E-6     1.0567281452689341E-5    1.3833239612915194E-5    1.447712065329049E-5     8.157116993873397E-6
0.22500000000000003       8.559379335642303E-6     8.569420395080682E-6     8.581834300529098E-6     8.678259013329946E-6     8.794018534467835E-6     9.594190901069571E-6     1.0385687241114182E-5    1.3625667630122352E-5    1.449935101506689E-5     8.679773056318152E-6
